time_debut,time_fin,n_stations,stations,n_picks,probabilite_max
2014-02-24T13:56:01.139900,2014-02-24T13:56:09.199900,5,"BAM,CPM,GBM,IA2,MLM",6,1.0
2014-02-24T13:56:40.009900,2014-02-24T13:56:48.979900,5,"BAM,CPM,GBM,LAM,MLM",6,1.0
2014-02-24T13:57:19.009900,2014-02-24T13:57:28.559900,4,"BAM,CPM,GBM,MLM",5,1.0
2014-02-24T13:57:34.019900,2014-02-24T13:57:42.259900,4,"BAM,CPM,MLM,SAM",5,1.0
2014-02-24T13:57:46.529900,2014-02-24T13:57:52.819900,4,"BAM,CPM,IA2,MLM",4,1.0
2014-02-24T13:57:57.829900,2014-02-24T13:58:06.549900,4,"BAM,CPM,LAM,MLM",5,1.0
2014-02-24T13:58:18.500000,2014-02-24T13:58:23.719900,4,"BAM,CPM,MLM,SAM",4,1.0
2014-02-24T13:58:44.499900,2014-02-24T13:58:52.269900,4,"BAM,CPM,GBM,MLM",5,1.0
2014-02-24T13:59:13.549900,2014-02-24T13:59:23.409900,4,"BAM,CPM,LAM,MLM",6,0.9999997019767761
2014-02-24T13:59:26.039900,2014-02-24T13:59:35.210000,5,"BAM,CPM,GBM,IA2,MLM",5,1.0
2014-02-24T13:59:38.419900,2014-02-24T13:59:46.739900,4,"BAM,CPM,IA2,MLM",5,1.0
2014-02-24T14:00:02.219900,2014-02-24T14:00:11.669900,4,"BAM,CPM,GBM,MLM",5,1.0
2014-02-24T14:00:15.669900,2014-02-24T14:00:25.639900,4,"BAM,LAM,MLM,SAM",5,0.9999995827674866
2014-02-24T14:00:33.589900,2014-02-24T14:00:41.209900,4,"BAM,CPM,LAM,MLM",5,1.0
2014-02-24T14:00:47.069900,2014-02-24T14:00:56.659900,4,"BAM,CPM,GBM,MLM",5,1.0
2014-02-24T14:01:26.719900,2014-02-24T14:01:35.649900,5,"BAM,CPM,GBM,IA2,MLM",6,1.0
2014-02-24T14:02:00.260000,2014-02-24T14:02:07.629900,6,"BAM,CPM,GBM,LAM,MLM,SAM",6,1.0
