WI.SAM.00.HHN | 2014-03-31T00:00:00.000000Z - 2014-04-01T00:00:00.000000Z | 100.0 Hz, 8640001 samples
WI.SAM.00.HHN | 2014-04-01T00:00:00.000000Z - 2014-04-02T00:00:00.000000Z | 100.0 Hz, 8640001 samples
WI.SAM.00.HHN | 2014-04-02T00:00:00.000000Z - 2014-04-03T00:00:00.000000Z | 100.0 Hz, 8640001 samples
WI.SAM.00.HHN | 2014-04-03T00:00:00.000000Z - 2014-04-04T00:00:00.000000Z | 100.0 Hz, 8640001 samples
WI.SAM.00.HHN | 2014-04-04T00:00:00.000000Z - 2014-04-04T23:59:59.990000Z | 100.0 Hz, 8640000 samples
WI.SAM.00.HHN | 2014-04-05T00:00:00.000000Z - 2014-04-06T00:00:00.000000Z | 100.0 Hz, 8640001 samples
WI.SAM.00.HHN | 2014-04-06T00:00:00.000000Z - 2014-04-07T00:00:00.000000Z | 100.0 Hz, 8640001 samples
WI.SAM.00.HHN | 2014-04-07T00:00:00.000000Z - 2014-04-08T00:00:00.000000Z | 100.0 Hz, 8640001 samples
WI.SAM.00.HHN | 2014-04-08T00:00:00.000000Z - 2014-04-09T00:00:00.000000Z | 100.0 Hz, 8640001 samples
WI.SAM.00.HHN | 2014-04-09T00:00:00.000000Z - 2014-04-10T00:00:00.000000Z | 100.0 Hz, 8640001 samples
WI.SAM.00.HHN | 2014-04-10T00:00:00.000000Z - 2014-04-10T02:29:05.350000Z | 100.0 Hz, 894536 samples
WI.SAM.00.HHN | 2014-04-11T00:00:00.000000Z - 2014-04-12T00:00:00.000000Z | 100.0 Hz, 8640001 samples
WI.SAM.00.HHN | 2014-04-12T00:00:00.000000Z - 2014-04-13T00:00:00.000000Z | 100.0 Hz, 8640001 samples
WI.SAM.00.HHN | 2014-04-13T00:00:00.000000Z - 2014-04-14T00:00:00.000000Z | 100.0 Hz, 8640001 samples
WI.SAM.00.HHN | 2014-04-14T00:00:00.000000Z - 2014-04-14T23:59:59.990000Z | 100.0 Hz, 8640000 samples
WI.SAM.00.HHN | 2014-04-15T00:00:00.000000Z - 2014-04-16T00:00:00.000000Z | 100.0 Hz, 8640001 samples
WI.SAM.00.HHN | 2014-04-16T00:00:00.000000Z - 2014-04-17T00:00:00.000000Z | 100.0 Hz, 8640001 samples
